patch.id,cell.id,imageid,X_centroid,Y_centroid,CN_label,tu.det_benign
1037575_cell_214,cell_214,1037575,71943,68953,CN06,0.33579934
1037575_cell_489,cell_489,1037575,78120,64855,CN04,0.2371402
1037575_cell_632,cell_632,1037575,75559,63287,CN04,0.2364362
1037575_cell_639,cell_639,1037575,75783,63063,CN04,0.2816578
1037575_cell_647,cell_647,1037575,76007,63287,CN04,0.37328213
1037575_cell_819,cell_819,1037575,80744,62070,CN06,0.4353255
1037575_cell_889,cell_889,1037575,84872,60245,CN07,0.2070947
1037575_cell_1117,cell_1117,1037575,76712,56340,CN06,0.28365326
1037575_cell_1127,cell_1127,1037575,76936,55668,CN05,0.2229091
1037575_cell_1132,cell_1132,1037575,76936,56788,CN04,0.3088951
1037575_cell_1171,cell_1171,1037575,77608,57684,CN01,0.889679536
1037575_cell_1180,cell_1180,1037575,77832,57908,CN01,0.8393098
1037575_cell_1189,cell_1189,1037575,78056,58132,CN01,0.270442
1037575_cell_1264,cell_1264,1037575,82440,55956,CN04,0.4997782
1037575_cell_1284,cell_1284,1037575,82664,55956,CN04,0.2239597
1037575_cell_1322,cell_1322,1037575,83112,57300,CN01,0.39515567
1037575_cell_1638,cell_1638,1037575,79208,52787,CN06,0.4059081
1037575_cell_1884,cell_1884,1037575,71143,51250,CN04,0.26605475
1037575_cell_1887,cell_1887,1037575,71367,50578,CN04,0.3750263
1037575_cell_1923,cell_1923,1037575,64294,49970,CN08,0.25099015
1037575_cell_2086,cell_2086,1037575,65030,47857,CN04,0.22459006
1037575_cell_2114,cell_2114,1037575,66919,47633,CN04,0.4630867
1037575_cell_2186,cell_2186,1037575,68135,49617,CN01,0.6031409
1037575_cell_2190,cell_2190,1037575,68359,49617,CN06,0.2318989
1037575_cell_2211,cell_2211,1037575,69255,48049,CN04,0.25883013
1037575_cell_2212,cell_2212,1037575,69255,48273,CN04,0.25039077
1037575_cell_2233,cell_2233,1037575,69703,48273,CN04,0.3360188
1037575_cell_2811,cell_2811,1037575,90377,42319,CN04,0.20916665
1037575_cell_3009,cell_3009,1037575,66982,43726,CN09,0.2994331
1037575_cell_3014,cell_3014,1037575,67206,43278,CN05,0.61392888
1037575_cell_3040,cell_3040,1037575,68326,42382,CN04,0.63355765
1037575_cell_3041,cell_3041,1037575,68326,42606,CN04,0.52548668
1037575_cell_3098,cell_3098,1037575,35299,40334,CN10,0.34569895
1037575_cell_3255,cell_3255,1037575,89577,38510,CN06,0.2201969
1037575_cell_3599,cell_3599,1037575,54341,36813,CN04,0.2255305
1037575_cell_3847,cell_3847,1037575,76839,36397,CN07,0.2388589
1037575_cell_3870,cell_3870,1037575,77287,35949,CN04,0.2384867
1037575_cell_3928,cell_3928,1037575,78855,36621,CN08,0.22305113
1037575_cell_3938,cell_3938,1037575,79079,37293,CN04,0.26743585
1037575_cell_4259,cell_4259,1037575,81736,34828,CN01,0.2838872
1037575_cell_4260,cell_4260,1037575,81736,35052,CN07,0.23643285
1037575_cell_4348,cell_4348,1037575,82184,35276,CN07,0.36186576
1037575_cell_4349,cell_4349,1037575,82184,36844,CN08,0.2278898
1037575_cell_4390,cell_4390,1037575,82408,35500,CN07,0.38048947
1037575_cell_4394,cell_4394,1037575,82408,37068,CN07,0.307102
1037575_cell_4449,cell_4449,1037575,82856,37068,CN07,0.30866814
1037575_cell_4450,cell_4450,1037575,82856,37292,CN04,0.22166777
1037575_cell_4538,cell_4538,1037575,83528,38412,CN04,0.2502844
1037575_cell_4543,cell_4543,1037575,83528,39532,CN03,0.3159096
1037575_cell_4544,cell_4544,1037575,83528,39756,CN03,0.21873367
1037575_cell_4546,cell_4546,1037575,83528,40204,CN07,0.2720312
1037575_cell_4568,cell_4568,1037575,83752,38188,CN04,0.27941567
1037575_cell_4574,cell_4574,1037575,83752,39532,CN03,0.2249722
1037575_cell_4575,cell_4575,1037575,83752,39756,CN03,0.22089654
1037575_cell_4576,cell_4576,1037575,83752,39980,CN08,0.285517
1037575_cell_4577,cell_4577,1037575,83752,40204,CN08,0.23556757
1037575_cell_4618,cell_4618,1037575,83976,39756,CN08,0.44761467
1037575_cell_4619,cell_4619,1037575,83976,39980,CN03,0.4376007
1037575_cell_4620,cell_4620,1037575,83976,40204,CN08,0.5753731
1037575_cell_4621,cell_4621,1037575,83976,40428,CN08,0.3082448
1037575_cell_4662,cell_4662,1037575,84200,39756,CN08,0.4269534
1037575_cell_4663,cell_4663,1037575,84200,39980,CN08,0.21499527
1037575_cell_4667,cell_4667,1037575,84200,40876,CN07,0.31920195
1037575_cell_4707,cell_4707,1037575,84424,39756,CN04,0.2872435
1037575_cell_4713,cell_4713,1037575,84424,41100,CN08,0.2394653
1037575_cell_4761,cell_4761,1037575,84648,41324,CN08,0.2731944
1037575_cell_4790,cell_4790,1037575,84872,37292,CN04,0.4324382
1037575_cell_4833,cell_4833,1037575,85096,37740,CN01,0.29864776
1037575_cell_4853,cell_4853,1037575,85096,42220,CN04,0.3015376
1037575_cell_4949,cell_4949,1037575,85768,38188,CN01,0.39273256
1037575_cell_4981,cell_4981,1037575,85992,38188,CN09,0.3831146
1037575_cell_5448,cell_5448,1037575,23714,32363,CN10,0.6376174
1037575_cell_5453,cell_5453,1037575,23938,32587,CN04,0.3093211
1037575_cell_5645,cell_5645,1037575,40036,31787,CN04,0.36880785
1037575_cell_5650,cell_5650,1037575,40260,32011,CN04,0.21458995
1037575_cell_5690,cell_5690,1037575,89801,33355,CN05,0.2163132
1037575_cell_5693,cell_5693,1037575,89801,34027,CN04,0.60185894
1037575_cell_5696,cell_5696,1037575,90025,30667,CN05,0.3430789
1037575_cell_5698,cell_5698,1037575,90025,31115,CN04,0.35141987
1037575_cell_5707,cell_5707,1037575,90025,33131,CN04,0.25330526
1037575_cell_5708,cell_5708,1037575,90025,33355,CN03,0.41851497
1037575_cell_5711,cell_5711,1037575,90025,34027,CN04,0.34172654
1037575_cell_5715,cell_5715,1037575,90249,30891,CN01,0.3668545
1037575_cell_5718,cell_5718,1037575,90249,31563,CN04,0.3466679
1037575_cell_5721,cell_5721,1037575,90249,32235,CN06,0.30279195
1037575_cell_5723,cell_5723,1037575,90249,32683,CN01,0.41183573
1037575_cell_5738,cell_5738,1037575,90473,32459,CN01,0.41342205
1037575_cell_5740,cell_5740,1037575,90473,32907,CN01,0.60688117
1037575_cell_5746,cell_5746,1037575,90697,31115,CN05,0.2207757
1037575_cell_5926,cell_5926,1037575,21826,30538,CN05,0.56794158
1037575_cell_5929,cell_5929,1037575,22050,30314,CN01,0.2284709
1037575_cell_5934,cell_5934,1037575,22274,30538,CN01,0.43096805
1037575_cell_5935,cell_5935,1037575,22274,30762,CN07,0.28754026
1037575_cell_5997,cell_5997,1037575,77672,30218,CN04,0.2219804
1037575_cell_6042,cell_6042,1037575,79240,31786,CN04,0.3926052
1037575_cell_6048,cell_6048,1037575,79464,31786,CN09,0.4565811
1037575_cell_6066,cell_6066,1037575,17153,29706,CN04,0.2806346
1037575_cell_6664,cell_6664,1037575,46980,28105,CN04,0.33441305
1037575_cell_6702,cell_6702,1037575,48324,29001,CN04,0.2423187
1037575_cell_6715,cell_6715,1037575,48772,29449,CN04,0.49558634
1037575_cell_6722,cell_6722,1037575,48772,31241,CN07,0.2022463
1037575_cell_6729,cell_6729,1037575,48996,30345,CN04,0.47995144
1037575_cell_6734,cell_6734,1037575,48996,31465,CN07,0.2309617
1037575_cell_6757,cell_6757,1037575,49668,32361,CN04,0.2390954
1037575_cell_6791,cell_6791,1037575,51012,32809,CN04,0.30085135
1037575_cell_6864,cell_6864,1037575,59462,26857,CN04,0.36108536
